,GRID_CODE,NLCD,B18,B25,B30,B35,B40,B45,B53,B58,B66,B73,B81,B100,B123,B137,B145,B164,B174,B181,B187,B227,B233,B241,B247,B254,B261,B270,B331,B345,B356,B367,B380,B389
36,29902,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,26190,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,36942,SS,0.0108,0.0103,0.0173,0.0258,0.0197,0.0166,0.0142,0.0108,0.0416,0.2264,0.3216,0.3547,0.3434,0.3838,0.3564,0.2821,0.316,0.3212,0.2792,0.0742,0.0972,0.118,0.1361,0.1443,0.1455,0.1245,0.028,0.0408,0.0495,0.0571,0.0449,0.0352
39,11854,SS,0.0587,0.0564,0.0528,0.0551,0.0538,0.0506,0.05,0.0492,0.0515,0.0624,0.0667,0.0672,0.0703,0.1054,0.1324,0.161,0.1908,0.1939,0.1787,0.1521,0.1618,0.1603,0.1632,0.1513,0.1335,0.0616,0.0931,0.0947,0.0889,0.0818,0.0357,0.0237
40,2254,SS,0.0127,0.0115,0.0168,0.0233,0.0172,0.0131,0.0104,0.0072,0.032,0.2151,0.3152,0.3413,0.3259,0.3656,0.3419,0.2591,0.2868,0.2922,0.2557,0.0573,0.0778,0.0963,0.1122,0.1181,0.1224,0.1059,0.02,0.0316,0.039,0.0444,0.0337,0.0266
41,53326,SS,0.0112,0.0095,0.0169,0.0259,0.0201,0.0156,0.0121,0.0092,0.044,0.2353,0.3208,0.3531,0.3437,0.3831,0.3558,0.288,0.3157,0.3208,0.2832,0.0851,0.1097,0.13,0.1497,0.1543,0.1576,0.1373,0.0319,0.048,0.0586,0.0668,0.051,0.0412
42,4174,SS,0.0211,0.0225,0.0351,0.0489,0.045,0.0425,0.0408,0.0318,0.0944,0.2421,0.2967,0.336,0.3225,0.3705,0.3508,0.2806,0.31,0.3122,0.2798,0.0908,0.1171,0.1386,0.1596,0.168,0.1721,0.1546,0.0452,0.0615,0.0731,0.0778,0.0649,0.0543
43,28750,SS,0.0377,0.0391,0.0506,0.0653,0.0583,0.0524,0.0478,0.0423,0.0881,0.2422,0.2926,0.3079,0.303,0.3252,0.3072,0.2694,0.2904,0.2936,0.2664,0.1062,0.1288,0.1482,0.1684,0.1732,0.1781,0.1633,0.0611,0.0762,0.0857,0.0913,0.075,0.0668
44,61006,SS,0.0619,0.0604,0.0612,0.0668,0.0644,0.061,0.0594,0.0584,0.0689,0.0942,0.1031,0.1082,0.1114,0.145,0.1697,0.1898,0.2175,0.2214,0.2033,0.1621,0.1739,0.1741,0.1793,0.1677,0.1515,0.0849,0.1019,0.1039,0.1023,0.0966,0.0505,0.0386
45,63694,SS,0.0221,0.0234,0.0404,0.0539,0.0483,0.0419,0.0359,0.0297,0.0822,0.2259,0.2648,0.2926,0.2938,0.3296,0.3116,0.2662,0.2921,0.2984,0.2704,0.097,0.1218,0.1426,0.162,0.1674,0.1745,0.1563,0.0506,0.0662,0.0784,0.0843,0.0681,0.0563
46,32846,SS,0.0501,0.05,0.0619,0.078,0.0693,0.0616,0.0547,0.0497,0.0911,0.2582,0.3082,0.3167,0.2965,0.3158,0.2986,0.2603,0.2738,0.2744,0.2495,0.1065,0.1295,0.1472,0.1637,0.1687,0.1733,0.1588,0.0593,0.0756,0.086,0.0923,0.0787,0.0682
47,24142,SS,0.0249,0.0258,0.0464,0.0666,0.0596,0.0511,0.0434,0.0336,0.1034,0.2509,0.2926,0.3255,0.3389,0.3684,0.3506,0.3216,0.3511,0.3584,0.3304,0.1363,0.1678,0.194,0.2198,0.2294,0.2336,0.2088,0.0694,0.0895,0.1039,0.1134,0.0902,0.0768
